,name,discord,team,showdown,elo,seasons played,games played,wins,losses,draws,KOs,faints,K/D
0,jack,#anglord,walrein,w.walrein,1000,0,0,0,0,0,0,0,0
0,joon,#chocomon,mimikyu,PG,1000,0,0,0,0,0,0,0,0
